label,text
0,على الرغم من بعض الاقتباسات الجميله للكتاب إلا أنني عندما قرأته كاملا شعرت بالخيبه ... فهناك عبارات ذات معنى مشابه كررها ولا أعرف ما الغايه من ذلك مثل :. يا رب انني احبها واستحي أن اطلب منك شيئا آخرا .. بعد حبها ، والعباره الأخرى هي :. منذ إحبها وهو يستحي أن يطلب من الله أي شيء . كذلك وجدت اقتباس للكاتبه أحلام مستغانمي ولا أعرف لم لم يذكر أنه اقتباس بل بدا وكأنه هو من كتبه :. ،قالت لي : أحلم بأن أفتح باب بيتي معك ، أجبت : وأحلم بأن أفتح بيتي فألقاك .. والنقطه الأخيره التي أريد أن اتحدث عنها ولا أدري أن الأمور اختلطت بالنسبه لي أم انها حقيقه وهي :. دائما أرقبها .. أقرؤها .. وفي النهايه أعود لطاولتي لا شيء معي سواها ... ذكرني بقول نزار قباني. أعود لطاولتي لا أملك سوى كلمات وكأنه يغير ببعض كلماته ويكتبها ...
0,قرئتها ويا ليتني لم اقرئها ............... قمة العهر .........الرواية تدور من اولها حتى اخرها حول الفكر الوسخ الجنسي.......لا انصح اي انسان. لديه شيء من الانسانية او الادب او الاحترام ان ينظر لهذه الرواية ............ واستغرب انها تلقى اعجابا في مجتمعاتنا العربية .....يا للعهر الفكري ........... وما يثير الاستغراب اكثر هو ان هناك فتياة تقرأ هذه الرواية ....وهي مليئة بالقرف وقلة الادب لأبعد الحدود ...الرواية عبارة عن قيء ..
0,أستمتعت رغم المنغصات . الموقع رائع والإستقلالثة ممتازة والتصميم مذهل. المكان تنقصه الصيانة المستمرة فقد ظهر لي المكان رغم فخامته مفتقرا للصيانة المستمرةمثلا تسرب في الحمام على الأرض وفي البوديه وجود صراصير ميتة على الأرض عدم وجود الحد الأدنى من الأدوات في المطبخ أداء الأمن لم يكن بالشكل المطلوب
1,للراحة عنوان . كل شي. لا شي
1,رائعة ومقبضة وحزينة ومبتكرة
1,رحلاتي القادمة الى الرياض عندهم أن شاء الله . . طاقم العمل رائع كلهم ا.وائل و اثنين شباب في فترة الصباح ناسي اسمهم . تقديم ضيافة عند القدوم صباحا . تقديم ضيافة في المساء شاي و قهوة عربي مع تمر . راحة و نظافة المكان جدا جدا نظيف و خدمة الغرف سريعة . موقعه مناسب للأشخاص اهتمامهم السفارات او الجامعة قريب منها و لكن بعيد عن شرق الرياض . سهولة الوصول الى الدائري الشمالي . هدوء المكان . جميع الخدمات حولك . المسجد مقابل الفندق. لا يوجد شي سي ابدا
0,كعادة السباعى رواية أكثرمن رائعة و لكنها لا تخلوا من من مسحة سياسية منحازة بشكل مفتعل لا تتعدى عدة أسطر و لكنها رديئة و مقحمة على الاحداث
0,الفكرة جيدة جدا ، حبكتها حلوة وسلسة. مرعبة إلي حد ما. مخوفتنيش لكني عندي أحساس خاص ب جانب النجوم والبيوت والارواح والشياطين و المسس. حاجات ليها أصول خصوصا بما يكون ليها علاقة بالماضي و التاريخ. القصة عجبتني كان ممكن تبقي أحسن كمان. لكن فيها حاجة ناقصة تفاصيل أكتر أو محورية أكتر. لكنهاجيدة و جاري تكملت السلسلة ...
1,حسن الجوار والخدمة المميزة وكرم الضيافة . الموقعحسن الاستقبال سرعة تقديم الخدمة.
1,استثنائي. كل شيء مميز، و أجمل شيء أن هناك نادي للرجال و نادي للنساء..
